date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:18:44	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%226216da33-2bd8%22	https://englishwithlucy.co.uk/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:44	37201/37201	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b52a67960752eeae733689bd653b0eb6%22	https://englishwithlucy.ck.page/1eacedad73/index.js	C:/My%20Web%20Sites/pronunciation/englishwithlucy.ck.page/1eacedad73/index.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:45	2520/2520	---M--	200	added ('OK')	image/png	etag:%225f8738f7-9d8%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/splash7.png	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/splash7.png	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:45	26895/26895	---M--	200	added ('OK')	image/png	etag:%225f8738f7-690f%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/splash8.png	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/splash8.png	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:46	145255/145255	---M--	200	added ('OK')	image/png	etag:%225f8738f7-23767%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/splash9.png	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/splash9.png	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:46	2495/2495	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b9b320-9bf%22	https://englishwithlucy.co.uk/wp-content/plugins/convertkit/resources/frontend/js/broadcasts.js?ver=1.9.7.9	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/plugins/convertkit/resources/frontend/js/broadcastsab84.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:47	6475/6475	---MCZ	200	added ('OK')	application/javascript	etag:W/%22628fb354-194b%22	https://englishwithlucy.co.uk/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:48	19142/19142	---MCZ	200	added ('OK')	application/javascript	etag:W/%22628fb354-4ac6%22	https://englishwithlucy.co.uk/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:48	21821/21821	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b49f5c-553d%22	https://englishwithlucy.co.uk/wp-content/plugins/contact-form-7/includes/js/index.js?ver=5.6	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/plugins/contact-form-7/includes/js/index40df.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:48	6180/6180	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b9b320-1824%22	https://englishwithlucy.co.uk/wp-content/plugins/convertkit/resources/frontend/js/convertkit.js?ver=1.9.7.9	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/plugins/convertkit/resources/frontend/js/convertkitab84.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:49	21233/21233	---MCZ	200	added ('OK')	application/javascript	etag:W/%226218f9c3-52f1%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/popper.min.js?ver=6.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/popper.minf049.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:49	58073/58073	---MCZ	200	added ('OK')	application/javascript	etag:W/%226218f9f1-e2d9%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/bootstrap.min.js?ver=6.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/bootstrap.minf049.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:50	2492/2492	---MCZ	200	added ('OK')	application/javascript	etag:W/%226218f979-9bc%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/theme-script.min.js?ver=6.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/theme-script.minf049.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:50	326/326	---MCZ	200	added ('OK')	application/javascript	etag:W/%226218f9a2-146%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/skip-link-focus-fix.min.js?ver=20151215	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/skip-link-focus-fix.min4a7d.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:50	2564/2564	---MCZ	200	added ('OK')	application/javascript	etag:W/%226218f9e7-a04%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/custom.js?ver=6.0	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/js/customf049.js	(from https://englishwithlucy.co.uk/phonemic-chart/)
23:18:51	3656/3656	---M--	200	added ('OK')	image/gif	etag:%2262b9b320-e48%22	https://englishwithlucy.co.uk/wp-content/plugins/convertkit/resources/frontend/images/spinner.gif	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/plugins/convertkit/resources/frontend/images/spinner.gif	(from https://englishwithlucy.co.uk/wp-content/plugins/convertkit/resources/frontend/css/broadcasts.css?ver=1.9.7.9)
23:18:51	485/485	---M--	200	added ('OK')	image/png	etag:%2262b9b322-1e5%22	https://englishwithlucy.co.uk/wp-content/plugins/quiz-maker/public/images/correct.png	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/plugins/quiz-maker/public/images/correct.png	(from https://englishwithlucy.co.uk/wp-content/plugins/quiz-maker/public/css/quiz-maker-public.css?ver=6.3.4.2)
23:18:52	537/537	---M--	200	added ('OK')	image/png	etag:%2262b9b322-219%22	https://englishwithlucy.co.uk/wp-content/plugins/quiz-maker/public/images/wrong.png	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/plugins/quiz-maker/public/images/wrong.png	(from https://englishwithlucy.co.uk/wp-content/plugins/quiz-maker/public/css/quiz-maker-public.css?ver=6.3.4.2)
23:18:53	138836/138836	---M--	200	added ('OK')	application/octet-stream	etag:%225f9744c7-21e54%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/fonts/Caroline.ttf	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/fonts/Caroline.ttf	(from https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/style.css?ver=1.1.0)
23:18:54	354616/354616	---M--	200	added ('OK')	font/woff	etag:%225f9744c7-56938%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/fonts/Caroline.woff	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/fonts/Caroline.woff	(from https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/style.css?ver=1.1.0)
23:18:54	770948/770948	---M--	200	added ('OK')	application/octet-stream	etag:%225f9744c7-bc384%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/fonts/Caroline.otf	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/fonts/Caroline.otf	(from https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/style.css?ver=1.1.0)
23:18:55	67696/67696	---M--	200	added ('OK')	application/octet-stream	etag:%225f9744c8-10870%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/fonts/Voces-Regular.ttf	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/fonts/Voces-Regular.ttf	(from https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/style.css?ver=1.1.0)
23:18:55	2705/2705	---M--	200	added ('OK')	image/png	etag:%225f8738f7-a91%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/splash2.png	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/splash2.png	(from https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/style.css?ver=1.1.0)
23:18:56	738027/738027	---M--	200	added ('OK')	image/png	etag:%225f8738f7-b42eb%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/resource_bg.png	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/resource_bg.png	(from https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/style.css?ver=1.1.0)
23:18:56	261129/261129	---M--	200	added ('OK')	image/png	etag:%225f8738f7-3fc09%22	https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/connect_bg.png	C:/My%20Web%20Sites/pronunciation/englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/inc/assets/images/connect_bg.png	(from https://englishwithlucy.co.uk/wp-content/themes/wp-english-lucy/style.css?ver=1.1.0)
